who	Newbie	Age	Gender	Household Income	Sexual Preference	Country	Education Attainment	Major Occupation	Marital Status	Years on Internet
id76655	0	27	Female	$50-74	Heterosexual	Missouri	College	Management	Married	1-3 yr
id88472	1	25	Male	Under $10	Heterosexual	Other	College	Computer	Single	6-12 mo
id88497	0	50	Male	$50-74	Heterosexual	Maryland	Masters	Education	Married	1-3 yr
id73076	0	52	Female	$50-74	Heterosexual	Illinois	College	Other	Divorced	1-3 yr
id76555	0	31	Male	$50-74	NA	California	Professional	Other	Married	1-3 yr
id80165	0	28	Male	$50-74	Heterosexual	Illinois	Doctoral	Education	Single	4-6 yr
id80169	0	45	Male	$50-74	Heterosexual	Maryland	Some College	Professional	Married	1-3 yr
id80415	0	13	Male	$40-49	Heterosexual	Connecticut	Grammar	Education	Single	1-3 yr
id72232	1	14	Female	NA	Heterosexual	Ontario	Other	Education	NA	6-12 mo
id88884	0	26	Male	$40-49	Heterosexual	California	Professional	Education	Other	4-6 yr
id447	0	34	Female	NA	Heterosexual	Minnesota	College	Computer	Married	1-3 yr
id76674	0	33	Male	$20-29	Heterosexual	Colorado	Masters	Computer	Single	4-6 yr
id80185	1	18	Male	Over $100	Heterosexual	Georgia	High School	Education	Widowed	Under 6 mo
id84272	1	42	Female	$75-99	Heterosexual	Minnesota	Masters	Professional	Married	6-12 mo
id88795	0	29	Female	$50-74	Heterosexual	Washington D.C.	College	Computer	Single	4-6 yr
id80203	0	42	Female	Over $100	Heterosexual	Michigan	Masters	Professional	Married	1-3 yr
id80828	0	39	Male	$50-74	Heterosexual	Virginia	Masters	Computer	Married	Over 7 yr
id72054	0	49	Male	$50-74	Heterosexual	Maryland	Some College	Management	Single	1-3 yr
id80196	0	28	Male	NA	Heterosexual	Missouri	Professional	Professional	Single	1-3 yr
id71353	0	36	Male	$40-49	Heterosexual	New Jersey	Masters	Professional	Married	1-3 yr
id72943	0	36	Male	$40-49	Heterosexual	Pennsylvania	Some College	Other	Other	1-3 yr
id80048	0	41	Male	Over $100	Heterosexual	California	College	Computer	Married	Over 7 yr
id84277	0	53	Male	$50-74	Heterosexual	Indiana	Some College	Other	Married	1-3 yr
id87130	0	52	Male	$75-99	Heterosexual	Illinois	Masters	Professional	Married	4-6 yr
id87978	0	33	Male	Over $100	Heterosexual	California	College	Computer	Single	1-3 yr
id80200	1	47	Female	$50-74	Heterosexual	Ontario	Special	Professional	Married	6-12 mo
id86210	0	29	Male	$40-49	Heterosexual	Denmark	Masters	Computer	Other	4-6 yr
id83667	0	44	Male	$75-99	Heterosexual	North Carolina	Masters	Computer	Married	Over 7 yr
id89920	0	36	Male	$20-29	Heterosexual	British Columbia	High School	Professional	Divorced	1-3 yr
id6083	1	41	Female	$40-49	Heterosexual	Illinois	College	Professional	Married	6-12 mo
id80204	1	26	Male	Under $10	Heterosexual	Malaysis	College	Professional	Married	Under 6 mo
id80234	1	19	Male	Over $100	Heterosexual	Vermont	Some College	Education	Single	6-12 mo
id266	0	21	Female	$40-49	Heterosexual	Canada & Mexico	Some College	Computer	Single	4-6 yr
id78504	0	46	Male	NA	Heterosexual	Minnesota	College	Computer	Married	Over 7 yr
id83701	0	29	Male	$75-99	Heterosexual	California	Masters	Professional	Other	4-6 yr
id80416	0	43	Male	$50-74	Heterosexual	New York	Some College	Professional	Other	1-3 yr
id88004	1	26	Female	$40-49	Lesbian	New Jersey	High School	Computer	Single	6-12 mo
id89271	1	26	Female	$50-74	Bisexual	Iowa	College	Computer	Married	6-12 mo
id89814	0	15	Male	NA	Heterosexual	California	Grammar	Education	Single	1-3 yr
id74778	1	12	Female	NA	NA	Michigan	Other	Education	Single	Under 6 mo
id85795	0	43	Male	$40-49	Heterosexual	Indiana	Some College	Computer	Married	4-6 yr
id72987	0	34	Male	$30-39	Heterosexual	Florida	College	Management	Divorced	1-3 yr
id74682	0	35	Male	$75-99	Heterosexual	Texas	College	Management	Separated	4-6 yr
id72168	0	63	Male	$30-39	Heterosexual	California	Masters	Management	Married	1-3 yr
id84787	0	28	Male	$30-39	Heterosexual	Texas	Some College	Management	Single	1-3 yr
id80210	0	24	Male	$20-29	Heterosexual	Arkansas	Some College	Computer	Married	4-6 yr
id88384	0	19	Female	$75-99	Heterosexual	Missouri	Some College	Education	Single	4-6 yr
id80215	0	27	Male	$10-19	Heterosexual	Washington	College	Computer	Single	Over 7 yr
id80221	1	23	Male	Over $100	Heterosexual	Canada & Mexico	Special	Computer	Single	6-12 mo
id80224	0	57	Male	$50-74	Heterosexual	California	Doctoral	Education	Married	1-3 yr
id62334	0	33	Male	$40-49	Heterosexual	Illinois	College	Computer	Married	Over 7 yr
id82292	1	47	Male	$30-39	Heterosexual	Pennsylvania	Some College	Professional	Married	Under 6 mo
id87644	1	38	Male	$50-74	Heterosexual	Washington	Special	Professional	Married	Under 6 mo
id88762	1	14	Male	NA	na	California	Other	Education	Single	Under 6 mo
id82446	0	50	Female	$40-49	Heterosexual	New York	Masters	Computer	Single	1-3 yr
id79953	0	25	Male	Over $100	Heterosexual	Ontario	Some College	Other	Single	4-6 yr
id86850	0	32	Male	$50-74	Heterosexual	Pennsylvania	College	Computer	Single	1-3 yr
id80927	0	42	Male	$50-74	Heterosexual	Michigan	College	Other	Married	1-3 yr
id88735	0	36	Female	$30-39	Heterosexual	Georgia	High School	Education	Married	1-3 yr
id76766	0	26	Male	$30-39	Gay male	California	Some College	Computer	Married	Over 7 yr
id81022	0	27	Male	$40-49	Heterosexual	Australia	College	Computer	Other	1-3 yr
id76214	0	49	Male	$75-99	Gay male	Georgia	College	Computer	Single	1-3 yr
id73234	1	35	Female	$40-49	Heterosexual	Alberta	Some College	Other	Married	Under 6 mo
id87786	0	28	Male	$30-39	Heterosexual	Washington	Masters	Computer	Single	1-3 yr
id80442	1	30	Male	$40-49	Heterosexual	Michigan	High School	Management	Married	Under 6 mo
id68022	1	46	Female	$50-74	Heterosexual	Virginia	High School	Management	Married	6-12 mo
id78857	1	25	Male	$20-29	Heterosexual	France	College	Other	Single	Under 6 mo
id84470	1	21	Male	$20-29	Heterosexual	Arkansas	Some College	Education	Single	6-12 mo
id85645	0	34	Male	$75-99	Gay male	New York	Masters	Computer	Other	Over 7 yr
id88513	0	25	Female	NA	Heterosexual	Sweden	Doctoral	Education	Other	1-3 yr
id90108	0	31	Female	Under $10	Heterosexual	Florida	College	Education	Single	1-3 yr
id87653	1	22	Male	Under $10	Bisexual	Pakistan	College	Professional	Single	Under 6 mo
id73001	1	19	Female	NA	Heterosexual	Australia	Some College	Education	Single	Under 6 mo
id80232	1	45	Female	$75-99	Heterosexual	Utah	Some College	Other	Married	Under 6 mo
id73466	0	54	Male	Over $100	Heterosexual	Florida	College	Professional	Divorced	1-3 yr
id86315	0	48	Male	$75-99	Heterosexual	California	Masters	Education	Married	Over 7 yr
id88809	0	35	Female	NA	Heterosexual	Ontario	Masters	Education	Single	Over 7 yr
id76557	1	58	Female	NA	Heterosexual	Georgia	Masters	Other	Divorced	6-12 mo
id82176	0	58	Female	NA	NA	North Carolina	Masters	Computer	Divorced	Over 7 yr
id87808	0	32	Male	$40-49	Heterosexual	United Kingdom	Some College	Computer	Married	1-3 yr
id87809	0	28	Male	$20-29	Heterosexual	Australia	Other	Education	Single	1-3 yr
id73142	0	17	Male	Under $10	Heterosexual	Michigan	Grammar	Education	Single	1-3 yr
id74365	0	25	Female	$30-39	Heterosexual	Minnesota	College	Computer	Single	4-6 yr
id87810	0	44	Male	$40-49	Heterosexual	Australia	Other	Education	Single	1-3 yr
id72274	0	51	Female	Over $100	Heterosexual	Ontario	College	Education	Married	1-3 yr
id72643	1	39	Female	$10-19	Heterosexual	Ontario	Some College	Education	Single	6-12 mo
id52788	1	55	Female	NA	Heterosexual	New Mexico	College	Professional	Divorced	Under 6 mo
id89761	0	21	Male	$40-49	Gay male	New Jersey	Some College	Education	Single	4-6 yr
id71833	1	46	Male	$50-74	Heterosexual	Florida	Professional	Professional	Married	6-12 mo
id73143	0	38	Male	$30-39	NA	New Hampshire	Some College	Other	Divorced	1-3 yr
id74502	1	28	Female	$10-19	Heterosexual	Arizona	Some College	Education	Single	6-12 mo
id78186	0	21	Male	$10-19	NA	California	College	Education	Single	4-6 yr
id76529	0	41	Male	NA	Heterosexual	Ontario	Some College	Education	Single	4-6 yr
id86670	0	30	Male	$50-74	Gay male	Florida	College	Professional	Other	4-6 yr
id80111	0	35	Female	$40-49	Heterosexual	Michigan	Some College	Professional	Married	1-3 yr
id87812	0	38	Female	NA	Heterosexual	Utah	Masters	Education	Married	1-3 yr
id81779	0	29	Male	$50-74	Heterosexual	California	College	Computer	Single	4-6 yr
id83476	1	NA	Female	NA	na	Yukon	High School	Education	NA	6-12 mo
id68466	0	26	Male	$20-29	Heterosexual	Iowa	College	Professional	Single	1-3 yr
id89560	0	30	Male	$50-74	Gay male	Connecticut	College	Computer	Married	Over 7 yr
id77223	0	54	Female	$50-74	Heterosexual	Connecticut	College	Other	Divorced	1-3 yr
id85394	1	33	Female	$40-49	Heterosexual	Alberta	Special	Other	Married	6-12 mo
id73146	1	52	Female	$40-49	NA	California	Some College	Other	Married	6-12 mo
id86640	1	48	Female	$30-39	Heterosexual	Vermont	Some College	Other	Single	6-12 mo
id71704	0	28	Male	$40-49	Heterosexual	Japan	College	Education	Single	1-3 yr
id82154	0	37	Male	$40-49	Heterosexual	Virginia	Some College	Computer	Separated	4-6 yr
id86641	1	21	Female	$10-19	Heterosexual	Illinois	Some College	Education	Single	Under 6 mo
id86862	0	35	Male	$30-39	Heterosexual	Louisiana	College	Education	Married	1-3 yr
id80092	0	53	Male	Over $100	Heterosexual	California	Doctoral	Professional	Married	1-3 yr
id86305	0	19	Female	NA	Lesbian	Minnesota	Some College	Education	Single	1-3 yr
id81474	1	27	Female	$10-19	Heterosexual	Oklahoma	Masters	Education	Married	6-12 mo
id81557	0	54	Female	NA	NA	Michigan	Special	Professional	Married	1-3 yr
id90270	0	45	Male	$40-49	Heterosexual	Connecticut	Doctoral	Computer	Single	1-3 yr
id74112	0	32	Male	$20-29	Heterosexual	New York	Masters	Computer	Single	4-6 yr
id129	1	29	Female	$30-39	NA	Louisiana	College	Management	Married	Under 6 mo
id84639	0	23	Female	$20-29	Heterosexual	California	Some College	Education	Other	1-3 yr
id78265	0	45	Male	$40-49	Heterosexual	California	Masters	Management	Married	1-3 yr
id33941	0	24	Male	$30-39	Heterosexual	California	College	Professional	Single	1-3 yr
id74113	0	62	Male	NA	Heterosexual	Belgium	Doctoral	Other	Married	Over 7 yr
id77509	0	NA	Male	NA	Bisexual	Rhode Island	Some College	Education	Single	4-6 yr
id87171	0	24	Female	$20-29	Heterosexual	California	College	Computer	Single	4-6 yr
id74503	0	27	Female	$75-99	Heterosexual	California	Masters	Management	Single	4-6 yr
id75224	0	43	Male	$30-39	Heterosexual	Ohio	College	Computer	Divorced	1-3 yr
id81736	0	22	Male	$40-49	Heterosexual	Georgia	Some College	Computer	Other	4-6 yr
id82379	0	37	Male	NA	Heterosexual	Italy	Doctoral	Education	Single	1-3 yr
id83170	0	41	Female	$75-99	Heterosexual	Virginia	Some College	Education	Married	1-3 yr
id86647	1	69	Female	NA	Heterosexual	Australia	Some College	Other	Divorced	6-12 mo
id86882	1	43	Male	$10-19	Heterosexual	Florida	College	Management	Widowed	Under 6 mo
id75115	0	25	Male	$20-29	NA	Illinois	College	Computer	Single	1-3 yr
id79486	1	29	Male	Over $100	Heterosexual	Texas	College	Professional	Married	Under 6 mo
id87066	1	46	Female	NA	Heterosexual	Texas	Some College	Education	Married	Under 6 mo
id72804	0	35	Male	$75-99	Heterosexual	Alabama	Masters	Professional	Married	1-3 yr
id83638	0	32	Male	Over $100	Heterosexual	California	College	Computer	Other	Over 7 yr
id86892	0	19	Female	Over $100	Heterosexual	Massachusetts	Some College	Education	Single	4-6 yr
id73098	0	27	Female	$30-39	Heterosexual	Ohio	College	Education	Married	1-3 yr
id74504	0	28	Female	$50-74	Heterosexual	Australia	Some College	Professional	Married	1-3 yr
id86894	1	35	Female	$50-74	Heterosexual	Pennsylvania	High School	Other	Other	Under 6 mo
id86895	1	34	Male	$50-74	Heterosexual	Australia	High School	Professional	Married	6-12 mo
id86896	0	43	Male	$20-29	Heterosexual	New Hampshire	College	Other	Single	4-6 yr
id73031	0	33	Male	Over $100	Heterosexual	Virginia	College	Professional	Married	Over 7 yr
id73237	1	18	Male	$40-49	Bisexual	Iowa	High School	Education	Single	6-12 mo
id76262	1	43	Male	$75-99	Heterosexual	California	Some College	Professional	Married	6-12 mo
id76660	0	29	Male	$30-39	NA	New York	Masters	Professional	Married	Over 7 yr
id80355	0	70	Male	$50-74	Heterosexual	Virginia	Other	Other	Married	1-3 yr
id83816	0	25	Male	Under $10	Heterosexual	Idaho	Some College	Education	Married	1-3 yr
id80228	0	22	Female	$30-39	Heterosexual	New York	College	Education	Other	4-6 yr
id82672	0	28	Male	$30-39	Heterosexual	Ohio	Masters	Education	Married	4-6 yr
id84253	0	25	Male	$20-29	Heterosexual	Maine	Some College	Management	Single	1-3 yr
id76559	0	38	Male	$50-74	Heterosexual	Texas	Some College	Computer	Married	1-3 yr
id78743	0	28	Male	$50-74	Heterosexual	Florida	College	Professional	Single	1-3 yr
id85123	0	37	Male	$40-49	Heterosexual	Quebec	High School	Management	Single	4-6 yr
id72393	0	40	Female	$30-39	Heterosexual	Florida	Special	Computer	Married	1-3 yr
id76665	0	22	Male	NA	Heterosexual	Georgia	Some College	Education	Single	Over 7 yr
id85654	0	24	Male	NA	Heterosexual	Vermont	College	Education	Single	1-3 yr
id89374	0	17	Male	$50-74	Heterosexual	Ohio	High School	Education	Single	4-6 yr
id57404	0	23	Female	NA	Heterosexual	Pennsylvania	Some College	Education	Single	1-3 yr
id85407	0	24	Female	$20-29	Heterosexual	Pennsylvania	Masters	Professional	Single	1-3 yr
id73469	1	58	Male	NA	Gay male	Virginia	College	Management	Single	6-12 mo
id87173	0	42	Female	Over $100	Heterosexual	New Jersey	College	Management	Married	1-3 yr
id89568	0	27	Male	$50-74	Heterosexual	Ontario	College	Computer	Single	1-3 yr
id73010	0	27	Male	$50-74	Heterosexual	North Carolina	Masters	Education	Married	4-6 yr
id78389	0	35	Male	Over $100	Gay male	California	College	Other	Other	1-3 yr
id85228	0	39	Male	$75-99	Gay male	Colorado	High School	Other	Married	4-6 yr
id86903	1	50	Male	Over $100	Heterosexual	South Africa	College	Management	Married	6-12 mo
id87207	0	25	Male	$40-49	Heterosexual	Germany	College	Computer	Single	4-6 yr
id85801	0	54	Male	NA	Heterosexual	Michigan	Masters	Professional	Married	4-6 yr
id79265	1	38	Male	$50-74	Gay male	Texas	Some College	Computer	Other	6-12 mo
id74842	1	49	Female	$40-49	Heterosexual	Illinois	High School	Computer	Separated	6-12 mo
id78019	0	56	Male	$50-74	Heterosexual	Texas	College	Professional	Married	1-3 yr
id83339	0	80	Male	NA	na	Antarctica	Other	Other	NA	4-6 yr
id88446	0	39	Male	Over $100	Gay male	New York	College	Management	Single	1-3 yr
id72405	0	32	Male	$40-49	Heterosexual	Illinois	Some College	Computer	Other	1-3 yr
id74684	1	23	Female	Under $10	Heterosexual	Nevada	College	Education	Other	6-12 mo
id80229	0	42	Male	Over $100	Heterosexual	Maryland	College	Computer	Married	Over 7 yr
id84150	1	35	Male	$50-74	Heterosexual	Oregon	Some College	Management	Other	6-12 mo
id72061	1	28	Female	NA	Heterosexual	New Zealand	College	Professional	Married	Under 6 mo
id84436	0	27	Female	$20-29	Heterosexual	Sweden	Masters	Education	Other	4-6 yr
id80600	1	43	Male	Under $10	Heterosexual	Alabama	Some College	Management	Single	6-12 mo
id88701	1	30	Female	$50-74	Heterosexual	Michigan	Special	Other	Married	Under 6 mo
id85408	1	23	Female	$10-19	Bisexual	Quebec	Some College	Computer	Single	6-12 mo
id83322	0	27	Female	$10-19	Heterosexual	Alabama	Some College	Education	Single	1-3 yr
id87973	0	29	Male	$75-99	Heterosexual	United Kingdom	College	Computer	Married	1-3 yr
id73333	0	16	Male	NA	Heterosexual	California	High School	Education	Single	4-6 yr
id89105	1	15	Male	$20-29	Heterosexual	United Kingdom	Other	Education	Single	Under 6 mo
id86656	0	52	Female	$75-99	Heterosexual	Florida	College	Professional	Married	1-3 yr
id89608	0	54	Male	$75-99	Heterosexual	California	College	Professional	Married	1-3 yr
id71545	0	19	Male	$75-99	Heterosexual	Maryland	Some College	Computer	Single	1-3 yr
id89792	0	24	Male	NA	Heterosexual	Virginia	College	Computer	Married	4-6 yr
id82757	0	28	Male	$75-99	Heterosexual	Illinois	Masters	Computer	Married	Over 7 yr
id74498	1	16	Female	NA	Heterosexual	Quebec	High School	Education	Single	6-12 mo
id77039	0	48	Male	NA	Heterosexual	Texas	Professional	Professional	Married	1-3 yr
id90293	0	40	Male	$75-99	Heterosexual	North Carolina	College	Professional	Married	1-3 yr
id85410	1	25	Female	$20-29	Lesbian	Utah	Special	Professional	Single	6-12 mo
id82839	0	25	Female	$75-99	Heterosexual	Massachusetts	College	Professional	Married	Over 7 yr
id82241	0	47	Male	$50-74	Heterosexual	British Columbia	College	Computer	Other	1-3 yr
id86883	1	52	Female	$50-74	Heterosexual	North Dakota	College	Education	Married	6-12 mo
id71645	0	30	Male	$40-49	Heterosexual	Ohio	Some College	Computer	Married	1-3 yr
id80429	0	31	Female	NA	Heterosexual	Michigan	College	Education	Married	4-6 yr
id90092	1	29	Female	$30-39	Bisexual	Ohio	Some College	Computer	Married	Under 6 mo
id72489	0	33	Male	NA	Heterosexual	Israel	Other	Computer	Divorced	1-3 yr
id78508	1	41	Male	$40-49	Heterosexual	California	Special	Other	Married	Under 6 mo
id80260	0	21	Male	$40-49	Heterosexual	California	Some College	Computer	Single	1-3 yr
id80437	0	26	Male	$75-99	Heterosexual	Massachusetts	College	Computer	Married	Over 7 yr
id82610	0	34	Male	$30-39	Heterosexual	Washington	Some College	Computer	Divorced	1-3 yr
id76501	0	20	Male	Under $10	Heterosexual	New York	Some College	Computer	Single	Over 7 yr
id86935	0	NA	Female	NA	Heterosexual	South Carolina	Some College	Management	Married	1-3 yr
id73155	0	41	Female	NA	NA	Maryland	Some College	Management	Divorced	1-3 yr
id80424	0	30	Male	Over $100	Heterosexual	California	College	Computer	Single	Over 7 yr
id48146	0	27	Male	$10-19	Heterosexual	Germany	College	Education	Married	4-6 yr
id78474	0	24	Male	Over $100	Heterosexual	Ontario	College	Computer	Single	4-6 yr
id85174	0	23	Male	$10-19	Heterosexual	Norway	Some College	Education	Other	1-3 yr
id80644	0	23	Male	$30-39	Heterosexual	New York	College	Professional	Single	1-3 yr
id83371	0	44	Male	$50-74	Heterosexual	Other	College	Professional	Married	1-3 yr
id82457	0	33	Male	$50-74	Heterosexual	Virginia	Doctoral	Professional	Married	Over 7 yr
id80273	0	39	Male	$75-99	Heterosexual	Arizona	Some College	Management	Married	1-3 yr
id87832	0	17	Male	Over $100	Heterosexual	British Columbia	High School	Education	Single	1-3 yr
id87657	0	42	Female	$75-99	Heterosexual	Michigan	Masters	Computer	Married	1-3 yr
id71409	1	34	Male	$10-19	Bisexual	Texas	Some College	Professional	NA	Under 6 mo
id80439	0	22	Male	Under $10	Heterosexual	Kansas	Some College	Education	Single	4-6 yr
id87750	0	17	Male	$20-29	Heterosexual	Virginia	High School	Computer	Single	1-3 yr
id71410	1	43	Male	$50-74	Heterosexual	Georgia	Some College	Computer	Married	6-12 mo
id76039	0	20	Female	NA	Heterosexual	South Carolina	Some College	Education	Single	1-3 yr
id83181	0	49	Female	NA	Heterosexual	Pennsylvania	Masters	Education	Married	1-3 yr
id85906	0	22	Male	$30-39	Heterosexual	Connecticut	College	Professional	Single	4-6 yr
id87974	0	19	Male	$10-19	Heterosexual	California	High School	Education	Single	1-3 yr
id76956	0	15	Male	NA	Heterosexual	British Columbia	High School	Education	Single	1-3 yr
id76239	1	NA	Male	Over $100	Heterosexual	Washington	Some College	Education	Single	6-12 mo
id79654	1	42	Female	$20-29	NA	Montana	High School	Other	Married	Under 6 mo
id80042	0	47	Male	NA	Heterosexual	Oregon	Doctoral	Professional	Married	1-3 yr
id71412	0	43	Male	$75-99	Heterosexual	Indiana	Masters	Computer	Single	Over 7 yr
id78932	0	27	Female	$75-99	Bisexual	California	College	Professional	Other	1-3 yr
id79915	1	49	Male	$30-39	Heterosexual	Indiana	Some College	Management	Divorced	6-12 mo
id84404	0	50	Male	$50-74	Heterosexual	Florida	Some College	Professional	Married	1-3 yr
id85277	1	NA	Female	Under $10	Heterosexual	Wisconsin	Special	Computer	Single	6-12 mo
id80107	0	21	Male	$10-19	Heterosexual	New York	Some College	Education	Single	4-6 yr
id81563	0	16	Male	Over $100	Heterosexual	Pennsylvania	High School	Education	Single	4-6 yr
id85725	0	44	Male	NA	NA	Minnesota	College	Computer	NA	1-3 yr
id72686	0	22	Female	$30-39	Heterosexual	Texas	Some College	Other	Married	1-3 yr
id85016	0	23	Male	$10-19	Heterosexual	Massachusetts	College	Education	Other	Over 7 yr
id73886	0	34	Male	$50-74	Heterosexual	Georgia	Masters	Computer	Divorced	Over 7 yr
id88392	0	41	Male	$40-49	Heterosexual	California	Some College	Professional	Divorced	4-6 yr
id81785	0	30	Male	NA	Heterosexual	Georgia	College	Computer	Married	Over 7 yr
id87482	0	47	Male	$50-74	Heterosexual	Louisiana	College	Professional	Married	1-3 yr
id80410	0	56	Male	$50-74	Heterosexual	Michigan	Special	Computer	Married	4-6 yr
id87975	0	21	Male	$10-19	Heterosexual	Alabama	Some College	Education	Single	1-3 yr
id74031	0	30	Male	$50-74	Heterosexual	British Columbia	Some College	Computer	Other	Over 7 yr
id79334	0	56	Male	$50-74	Heterosexual	Virginia	Masters	Other	Separated	1-3 yr
id76116	0	25	Female	$10-19	Heterosexual	Finland	Some College	Computer	Single	4-6 yr
id81984	1	36	Female	NA	Heterosexual	Nova Scotia	College	Other	Married	Under 6 mo
id80738	0	41	Male	$40-49	Heterosexual	Tennessee	Some College	Management	Married	1-3 yr
id62401	1	63	Male	$40-49	Heterosexual	New Zealand	Doctoral	Professional	Married	6-12 mo
id76622	1	65	Female	NA	Heterosexual	Michigan	Masters	Other	Widowed	Under 6 mo
id81101	0	28	Male	$40-49	Heterosexual	Virginia	College	Computer	Married	4-6 yr
id72392	0	52	Male	$50-74	Bisexual	Texas	Some College	Other	Married	1-3 yr
id87395	1	41	Female	$20-29	Heterosexual	Ohio	Some College	Education	Single	Under 6 mo
id77252	0	28	Male	NA	Heterosexual	Pennsylvania	Some College	Education	Single	1-3 yr
id89663	0	40	Male	$75-99	Heterosexual	California	Masters	Computer	Married	4-6 yr
id13968	0	18	Female	$20-29	Heterosexual	Ontario	High School	Education	Single	1-3 yr
id73936	0	41	Female	$50-74	Heterosexual	Ohio	College	Computer	Married	1-3 yr
id77217	0	30	Male	Under $10	Heterosexual	Canada & Mexico	College	Education	Single	1-3 yr
id80290	0	29	Male	$30-39	Heterosexual	Michigan	College	Computer	Married	1-3 yr
id89458	0	34	Male	$50-74	Heterosexual	Georgia	College	Computer	Married	1-3 yr
id76561	0	29	Male	Over $100	Gay male	Washington	College	Computer	Other	Over 7 yr
id85647	0	42	Female	$50-74	Heterosexual	Ohio	Masters	Education	Single	1-3 yr
id72857	0	43	Male	$75-99	Heterosexual	Indiana	Doctoral	Education	Married	1-3 yr
id78313	0	42	Male	$75-99	Heterosexual	Kentucky	College	Professional	Married	1-3 yr
id80291	0	26	Male	$30-39	Heterosexual	Maryland	College	Management	Other	4-6 yr
id81263	0	37	Male	$50-74	Heterosexual	Florida	College	Professional	Married	1-3 yr
id84088	0	35	Male	$50-74	NA	California	College	Computer	Married	Over 7 yr
id86658	0	32	Male	$10-19	Heterosexual	Ontario	Doctoral	Other	Married	Over 7 yr
id88241	0	20	Male	$10-19	Heterosexual	France	Some College	Computer	Single	1-3 yr
id73238	0	30	Male	$75-99	Heterosexual	Australia	College	Computer	Married	1-3 yr
id74847	1	40	Female	$75-99	Heterosexual	Tennessee	Some College	Other	Married	Under 6 mo
id78220	0	40	Male	NA	Heterosexual	Alberta	College	Computer	Married	4-6 yr
id78642	0	54	Male	Over $100	Heterosexual	Tennessee	Masters	Professional	Married	1-3 yr
id88937	1	39	Female	$40-49	Heterosexual	West Virginia	Some College	Education	Married	Under 6 mo
id84106	1	41	Male	NA	Heterosexual	Florida	College	Computer	Married	6-12 mo
id71741	0	40	Male	$50-74	Heterosexual	Utah	Masters	Education	Married	1-3 yr
id74615	0	31	Male	NA	Heterosexual	Oregon	College	Management	Married	1-3 yr
id76160	0	31	Male	$75-99	Heterosexual	Georgia	College	Management	Married	1-3 yr
id79599	0	42	Male	$40-49	Heterosexual	Iowa	Masters	Computer	Married	1-3 yr
id86942	0	22	Male	$10-19	Heterosexual	Arizona	College	Education	Single	1-3 yr
id74611	0	27	Female	Under $10	Heterosexual	Australia	College	Education	Single	1-3 yr
id71415	0	40	Male	$40-49	Heterosexual	New Mexico	Special	Other	Married	1-3 yr
id77096	0	47	Male	$75-99	Heterosexual	New York	College	Computer	Divorced	1-3 yr
id86947	1	57	Male	$40-49	Heterosexual	United Kingdom	College	Professional	Single	6-12 mo
id71416	1	51	Female	$30-39	Heterosexual	Michigan	Some College	Other	Widowed	Under 6 mo
id72468	0	46	Female	$75-99	Heterosexual	Georgia	Some College	Other	Married	1-3 yr
id73672	0	55	Male	Under $10	Heterosexual	Florida	Some College	Other	Single	1-3 yr
id74114	1	31	Female	$40-49	Heterosexual	Oregon	Some College	Education	Married	Under 6 mo
id75846	0	16	Male	$40-49	Heterosexual	Virginia	High School	Education	Single	4-6 yr
id82761	1	32	Male	NA	Heterosexual	Vermont	College	Professional	Single	6-12 mo
id77826	0	30	Male	$50-74	Heterosexual	United Kingdom	Some College	Computer	Other	Over 7 yr
id86660	0	30	Male	$50-74	Heterosexual	Virginia	College	Other	Married	1-3 yr
id86831	0	47	Male	$75-99	Heterosexual	Georgia	Professional	Professional	Married	1-3 yr
id79944	0	31	Male	$30-39	Heterosexual	Alabama	High School	Professional	Single	1-3 yr
id88244	0	59	Female	NA	Heterosexual	North Carolina	College	Other	Married	1-3 yr
id80944	0	45	Female	Over $100	Heterosexual	California	Masters	Computer	Married	Over 7 yr
id90048	0	15	Male	NA	Heterosexual	New Jersey	Grammar	Education	Single	1-3 yr
id71966	0	35	Male	$50-74	Heterosexual	Georgia	High School	Computer	Married	4-6 yr
id88468	0	40	Female	$50-74	Heterosexual	California	Some College	Computer	Divorced	4-6 yr
id71417	0	37	Male	$50-74	Heterosexual	Connecticut	College	Management	Single	1-3 yr
id77741	0	32	Male	$30-39	Heterosexual	Texas	Special	Computer	Other	1-3 yr
id84543	0	46	Male	$20-29	Heterosexual	Arizona	Some College	Computer	Separated	1-3 yr
id76240	0	43	Male	$20-29	Heterosexual	Canada & Mexico	College	Computer	Other	1-3 yr
id86948	0	20	Male	$30-39	Heterosexual	Tennessee	High School	Professional	Married	1-3 yr
id87303	1	18	Male	$20-29	Heterosexual	Virginia	Some College	Education	Single	6-12 mo
id73069	0	44	Male	$30-39	Heterosexual	New York	Some College	Other	Single	1-3 yr
id79780	0	24	Male	$10-19	Heterosexual	Nova Scotia	Some College	Computer	Single	1-3 yr
id81820	0	38	Male	$50-74	Heterosexual	Australia	Some College	Computer	Single	4-6 yr
id87977	0	35	Male	$75-99	Heterosexual	Indiana	Masters	Computer	Married	1-3 yr
id72654	0	20	Male	Under $10	Heterosexual	Netherlands	High School	Education	Single	1-3 yr
id75226	0	45	Female	$10-19	Heterosexual	Massachusetts	College	Professional	Single	1-3 yr
id78822	0	49	Male	$75-99	Heterosexual	California	College	Computer	Married	1-3 yr
id76684	0	29	Male	$40-49	Heterosexual	Texas	College	Computer	Other	1-3 yr
